[ 16:48:56.696 17-02-2017  INFO ] sample error log
[ 16:49:14.404 17-02-2017  ERROR ] sample error log
[ 16:49:36.443 17-02-2017  INFO ] sample info log
[ 23:36:27.557 20-02-2017  ERROR ] res\character.json (The system cannot find the file specified)
[ 02:23:54.008 21-02-2017  ERROR ] res\character.json (The system cannot find the file specified)
[ 02:23:58.968 21-02-2017  ERROR ] res\character.json (The system cannot find the file specified)
[ 02:25:23.997 21-02-2017  ERROR ] res\character.json (The system cannot find the file specified)
[ 02:25:28.657 21-02-2017  ERROR ] res\character.json (The system cannot find the file specified)
[ 02:31:27.953 21-02-2017  ERROR ] res\character.json (The system cannot find the file specified)
[ 02:31:32.274 21-02-2017  ERROR ] res\character.json (The system cannot find the file specified)
[ 02:31:32.936 21-02-2017  ERROR ] res\character.json (The system cannot find the file specified)
[ 02:31:32.936 21-02-2017  ERROR ] res\character.json (The system cannot find the file specified)
[ 11:32:18.220 22-02-2017  ERROR ] java.lang.IllegalStateException: Expected a string but was BEGIN_OBJECT at line 1 column 40 path $[0].map_size
[ 11:35:02.058 22-02-2017  ERROR ] java.lang.IllegalStateException: Expected a string but was BEGIN_OBJECT at line 1 column 40 path $[0].map_size
[ 11:35:15.617 22-02-2017  ERROR ] java.lang.IllegalStateException: Expected a string but was BEGIN_OBJECT at line 1 column 40 path $[0].map_size
[ 11:35:23.338 22-02-2017  ERROR ] java.lang.IllegalStateException: Expected a string but was BEGIN_OBJECT at line 1 column 40 path $[0].map_size
[ 11:35:48.529 22-02-2017  ERROR ] java.lang.IllegalStateException: Expected a string but was BEGIN_OBJECT at line 1 column 40 path $[0].map_size
[ 11:38:44.897 22-02-2017  ERROR ] java.lang.IllegalStateException: Expected a string but was BEGIN_OBJECT at line 1 column 40 path $[0].map_size
[ 11:39:31.022 22-02-2017  ERROR ] java.lang.IllegalStateException: Expected a string but was BEGIN_OBJECT at line 1 column 40 path $[0].map_size
[ 11:43:23.684 22-02-2017  ERROR ] java.lang.IllegalStateException: Expected a string but was BEGIN_OBJECT at line 1 column 40 path $[0].map_size
